id,type,text,dialect,syllable_count,estimated_duration,actual_duration_mean,standard_deviation,duration_measurement_status,duration_model,pronunciation_ipa,syllable_sequence,initials,nuclei,codas,phoneme_sequence,phoneme_set,phoneme_transitions,cross_word_transition,tone_sequence,tone_set,tone_transitions,checked_syllables,checked_syllable_count,phonological_features,viseme_sequence,viseme_set,viseme_transitions,visual_features,phoneme_viseme_pairs,av_transitions,phoneme_coverage_gain,coda_coverage_gain,tone_coverage_gain,phoneme_transition_gain,tone_transition_gain,combined_transition_gain,viseme_coverage_gain,viseme_transition_gain,av_transition_gain,audio_score,vision_score,joint_av_score,audio_score_per_sec,vision_score_per_sec,joint_av_score_per_sec
V011,word,về,Northern Vietnamese (Hanoi),1,0.52,0.52,0.07,MODELED_PROXY_NOT_RECORDED,0.18 + 0.34*syllables - 0.03*checked + 0.08*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*tone_types,/ve/,về,v,ê,∅,v-e,"e,v",v→e,,huyền,huyền,,,0,,labiodental → spread_vowel,"labiodental,spread_vowel",labiodental→spread_vowel,"labiodental,spread_vowel","v:labiodental,e:spread_vowel",v:labiodental→e:spread_vowel,0.046511627906976744,0,0.16666666666666666,0.006289308176100629,0,0.0031446540880503146,0.2,0.01818181818181818,0.006289308176100629,0.05408073716542343,0.1090909090909091,0.06297058214565894,0.10400141762581429,0.2097902097902098,0.12109727335703642
V012,word,ăn,Northern Vietnamese (Hanoi),1,0.52,0.52,0.07,MODELED_PROXY_NOT_RECORDED,0.18 + 0.34*syllables - 0.03*checked + 0.08*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*tone_types,/an/,ăn,∅,ă,n,a-n,"a,n",a→n,,ngang,ngang,,,0,,open_vowel → coronal,"coronal,open_vowel",open_vowel→coronal,"coronal,open_vowel","a:open_vowel,n:coronal",a:open_vowel→n:coronal,0.046511627906976744,0.08333333333333333,0.16666666666666666,0.006289308176100629,0,0.0031446540880503146,0.2,0.01818181818181818,0.006289308176100629,0.07491407049875676,0.1090909090909091,0.07487534405042083,0.14406552018991683,0.2097902097902098,0.14399104625080927
V013,word,cơm,Northern Vietnamese (Hanoi),1,0.52,0.52,0.07,MODELED_PROXY_NOT_RECORDED,0.18 + 0.34*syllables - 0.03*checked + 0.08*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*tone_types,/kɤm/,cơm,c,ơ,m,k-ɤ-m,"k,m,ɤ","k→ɤ,ɤ→m",,ngang,ngang,,,0,,low_visibility_velar → central_vowel → bilabial_closure,"bilabial_closure,central_vowel,low_visibility_velar","low_visibility_velar→central_vowel,central_vowel→bilabial_closure","bilabial_closure,central_vowel,low_visibility_velar","k:low_visibility_velar,ɤ:central_vowel,m:bilabial_closure","k:low_visibility_velar→ɤ:central_vowel,ɤ:central_vowel→m:bilabial_closure",0.06976744186046512,0.08333333333333333,0.16666666666666666,0.012578616352201259,0,0.006289308176100629,0.3,0.03636363636363636,0.012578616352201259,0.08151418750914144,0.16818181818181818,0.09642842896462904,0.15675805290219508,0.32342657342657344,0.18543928647044045
V014,word,nước,Northern Vietnamese (Hanoi),1,0.49,0.49,0.07,MODELED_PROXY_NOT_RECORDED,0.18 + 0.34*syllables - 0.03*checked + 0.08*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*tone_types,/nɯək̚/,nước,n,ươ,c,n-ɯə-k̚,"k̚,n,ɯə","n→ɯə,ɯə→k̚",,sắc,sắc,,nước,1,checked_syllable,coronal → central_vowel → low_visibility_velar,"central_vowel,coronal,low_visibility_velar","coronal→central_vowel,central_vowel→low_visibility_velar","central_vowel,coronal,low_visibility_velar","n:coronal,ɯə:central_vowel,k̚:low_visibility_velar","n:coronal→ɯə:central_vowel,ɯə:central_vowel→k̚:low_visibility_velar",0.06976744186046512,0.08333333333333333,0.16666666666666666,0.012578616352201259,0,0.006289308176100629,0.3,0.03636363636363636,0.012578616352201259,0.08151418750914144,0.16818181818181818,0.09642842896462904,0.16635548471253356,0.3432282003710575,0.19679271217271233
V015,word,trà,Northern Vietnamese (Hanoi),1,0.52,0.52,0.07,MODELED_PROXY_NOT_RECORDED,0.18 + 0.34*syllables - 0.03*checked + 0.08*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*tone_types,/ʈaː/,trà,tr,a,∅,ʈ-aː,"aː,ʈ",ʈ→aː,,huyền,huyền,,,0,,coronal → open_vowel,"coronal,open_vowel",coronal→open_vowel,"coronal,open_vowel","ʈ:coronal,aː:open_vowel",ʈ:coronal→aː:open_vowel,0.046511627906976744,0,0.16666666666666666,0.006289308176100629,0,0.0031446540880503146,0.2,0.01818181818181818,0.006289308176100629,0.05408073716542343,0.1090909090909091,0.06297058214565894,0.10400141762581429,0.2097902097902098,0.12109727335703642
V016,word,sữa,Northern Vietnamese (Hanoi),1,0.52,0.52,0.07,MODELED_PROXY_NOT_RECORDED,0.18 + 0.34*syllables - 0.03*checked + 0.08*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*tone_types,/ʂɯə/,sữa,s,ưa,∅,ʂ-ɯə,"ɯə,ʂ",ʂ→ɯə,,ngã,ngã,,,0,phonation_contrast,coronal → central_vowel,"central_vowel,coronal",coronal→central_vowel,"central_vowel,coronal","ʂ:coronal,ɯə:central_vowel",ʂ:coronal→ɯə:central_vowel,0.046511627906976744,0,0.16666666666666666,0.006289308176100629,0,0.0031446540880503146,0.2,0.01818181818181818,0.006289308176100629,0.05408073716542343,0.1090909090909091,0.06297058214565894,0.10400141762581429,0.2097902097902098,0.12109727335703642
V017,word,sách,Northern Vietnamese (Hanoi),1,0.49,0.49,0.07,MODELED_PROXY_NOT_RECORDED,0.18 + 0.34*syllables - 0.03*checked + 0.08*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*tone_types,/ʂaːc̚/,sách,s,a,ch,ʂ-aː-c̚,"aː,c̚,ʂ","ʂ→aː,aː→c̚",,sắc,sắc,,sách,1,checked_syllable,coronal → open_vowel → palatal,"coronal,open_vowel,palatal","coronal→open_vowel,open_vowel→palatal","coronal,open_vowel,palatal","ʂ:coronal,aː:open_vowel,c̚:palatal","ʂ:coronal→aː:open_vowel,aː:open_vowel→c̚:palatal",0.06976744186046512,0.08333333333333333,0.16666666666666666,0.012578616352201259,0,0.006289308176100629,0.3,0.03636363636363636,0.012578616352201259,0.08151418750914144,0.16818181818181818,0.09642842896462904,0.16635548471253356,0.3432282003710575,0.19679271217271233
V018,word,bút,Northern Vietnamese (Hanoi),1,0.49,0.49,0.07,MODELED_PROXY_NOT_RECORDED,0.18 + 0.34*syllables - 0.03*checked + 0.08*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*tone_types,/ɓut̚/,bút,b,u,t,ɓ-u-t̚,"t̚,u,ɓ","ɓ→u,u→t̚",,sắc,sắc,,bút,1,checked_syllable,bilabial_closure → rounded → coronal,"bilabial_closure,coronal,rounded","bilabial_closure→rounded,rounded→coronal","bilabial_closure,coronal,rounded","ɓ:bilabial_closure,u:rounded,t̚:coronal","ɓ:bilabial_closure→u:rounded,u:rounded→t̚:coronal",0.06976744186046512,0.08333333333333333,0.16666666666666666,0.012578616352201259,0,0.006289308176100629,0.3,0.03636363636363636,0.012578616352201259,0.08151418750914144,0.16818181818181818,0.09642842896462904,0.16635548471253356,0.3432282003710575,0.19679271217271233
V019,word,bàn,Northern Vietnamese (Hanoi),1,0.52,0.52,0.07,MODELED_PROXY_NOT_RECORDED,0.18 + 0.34*syllables - 0.03*checked + 0.08*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*tone_types,/ɓaːn/,bàn,b,a,n,ɓ-aː-n,"aː,n,ɓ","ɓ→aː,aː→n",,huyền,huyền,,,0,,bilabial_closure → open_vowel → coronal,"bilabial_closure,coronal,open_vowel","bilabial_closure→open_vowel,open_vowel→coronal","bilabial_closure,coronal,open_vowel","ɓ:bilabial_closure,aː:open_vowel,n:coronal","ɓ:bilabial_closure→aː:open_vowel,aː:open_vowel→n:coronal",0.06976744186046512,0.08333333333333333,0.16666666666666666,0.012578616352201259,0,0.006289308176100629,0.3,0.03636363636363636,0.012578616352201259,0.08151418750914144,0.16818181818181818,0.09642842896462904,0.15675805290219508,0.32342657342657344,0.18543928647044045
V020,word,ghế,Northern Vietnamese (Hanoi),1,0.52,0.52,0.07,MODELED_PROXY_NOT_RECORDED,0.18 + 0.34*syllables - 0.03*checked + 0.08*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*tone_types,/ɣe/,ghế,gh,ê,∅,ɣ-e,"e,ɣ",ɣ→e,,sắc,sắc,,,0,,low_visibility_velar → spread_vowel,"low_visibility_velar,spread_vowel",low_visibility_velar→spread_vowel,"low_visibility_velar,spread_vowel","ɣ:low_visibility_velar,e:spread_vowel",ɣ:low_visibility_velar→e:spread_vowel,0.046511627906976744,0,0.16666666666666666,0.006289308176100629,0,0.0031446540880503146,0.2,0.01818181818181818,0.006289308176100629,0.05408073716542343,0.1090909090909091,0.06297058214565894,0.10400141762581429,0.2097902097902098,0.12109727335703642
V021,word,cửa,Northern Vietnamese (Hanoi),1,0.52,0.52,0.07,MODELED_PROXY_NOT_RECORDED,0.18 + 0.34*syllables - 0.03*checked + 0.08*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*tone_types,/kɯə/,cửa,c,ưa,∅,k-ɯə,"k,ɯə",k→ɯə,,hỏi,hỏi,,,0,,low_visibility_velar → central_vowel,"central_vowel,low_visibility_velar",low_visibility_velar→central_vowel,"central_vowel,low_visibility_velar","k:low_visibility_velar,ɯə:central_vowel",k:low_visibility_velar→ɯə:central_vowel,0.046511627906976744,0,0.16666666666666666,0.006289308176100629,0,0.0031446540880503146,0.2,0.01818181818181818,0.006289308176100629,0.05408073716542343,0.1090909090909091,0.06297058214565894,0.10400141762581429,0.2097902097902098,0.12109727335703642
V022,word,biển,Northern Vietnamese (Hanoi),1,0.52,0.52,0.07,MODELED_PROXY_NOT_RECORDED,0.18 + 0.34*syllables - 0.03*checked + 0.08*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*tone_types,/ɓiən/,biển,b,iê,n,ɓ-iə-n,"iə,n,ɓ","ɓ→iə,iə→n",,hỏi,hỏi,,,0,,bilabial_closure → spread_vowel → coronal,"bilabial_closure,coronal,spread_vowel","bilabial_closure→spread_vowel,spread_vowel→coronal","bilabial_closure,coronal,spread_vowel","ɓ:bilabial_closure,iə:spread_vowel,n:coronal","ɓ:bilabial_closure→iə:spread_vowel,iə:spread_vowel→n:coronal",0.06976744186046512,0.08333333333333333,0.16666666666666666,0.012578616352201259,0,0.006289308176100629,0.3,0.03636363636363636,0.012578616352201259,0.08151418750914144,0.16818181818181818,0.09642842896462904,0.15675805290219508,0.32342657342657344,0.18543928647044045
V023,word,trời,Northern Vietnamese (Hanoi),1,0.52,0.52,0.07,MODELED_PROXY_NOT_RECORDED,0.18 + 0.34*syllables - 0.03*checked + 0.08*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*tone_types,/ʈɤj/,trời,tr,ơ,i,ʈ-ɤ-j,"j,ɤ,ʈ","ʈ→ɤ,ɤ→j",,huyền,huyền,,,0,,coronal → central_vowel → palatal,"central_vowel,coronal,palatal","coronal→central_vowel,central_vowel→palatal","central_vowel,coronal,palatal","ʈ:coronal,ɤ:central_vowel,j:palatal","ʈ:coronal→ɤ:central_vowel,ɤ:central_vowel→j:palatal",0.06976744186046512,0.08333333333333333,0.16666666666666666,0.012578616352201259,0,0.006289308176100629,0.3,0.03636363636363636,0.012578616352201259,0.08151418750914144,0.16818181818181818,0.09642842896462904,0.15675805290219508,0.32342657342657344,0.18543928647044045
V024,word,đất,Northern Vietnamese (Hanoi),1,0.49,0.49,0.07,MODELED_PROXY_NOT_RECORDED,0.18 + 0.34*syllables - 0.03*checked + 0.08*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*tone_types,/ɗət̚/,đất,đ,â,t,ɗ-ə-t̚,"t̚,ɗ,ə","ɗ→ə,ə→t̚",,sắc,sắc,,đất,1,checked_syllable,central_vowel → central_vowel → coronal,"central_vowel,coronal","central_vowel→central_vowel,central_vowel→coronal","central_vowel,coronal","ɗ:central_vowel,ə:central_vowel,t̚:coronal","ɗ:central_vowel→ə:central_vowel,ə:central_vowel→t̚:coronal",0.06976744186046512,0.08333333333333333,0.16666666666666666,0.012578616352201259,0,0.006289308176100629,0.2,0.03636363636363636,0.012578616352201259,0.08151418750914144,0.1181818181818182,0.08214271467891478,0.16635548471253356,0.24118738404452694,0.16763819322227505
V025,word,núi,Northern Vietnamese (Hanoi),1,0.52,0.52,0.07,MODELED_PROXY_NOT_RECORDED,0.18 + 0.34*syllables - 0.03*checked + 0.08*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*tone_types,/nuj/,núi,n,u,i,n-u-j,"j,n,u","n→u,u→j",,sắc,sắc,,,0,,coronal → rounded → palatal,"coronal,palatal,rounded","coronal→rounded,rounded→palatal","coronal,palatal,rounded","n:coronal,u:rounded,j:palatal","n:coronal→u:rounded,u:rounded→j:palatal",0.06976744186046512,0.08333333333333333,0.16666666666666666,0.012578616352201259,0,0.006289308176100629,0.3,0.03636363636363636,0.012578616352201259,0.08151418750914144,0.16818181818181818,0.09642842896462904,0.15675805290219508,0.32342657342657344,0.18543928647044045
V026,word,sông,Northern Vietnamese (Hanoi),1,0.52,0.52,0.07,MODELED_PROXY_NOT_RECORDED,0.18 + 0.34*syllables - 0.03*checked + 0.08*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*tone_types,/ʂoŋ/,sông,s,ô,ng,ʂ-o-ŋ,"o,ŋ,ʂ","ʂ→o,o→ŋ",,ngang,ngang,,,0,,coronal → rounded → low_visibility_velar,"coronal,low_visibility_velar,rounded","coronal→rounded,rounded→low_visibility_velar","coronal,low_visibility_velar,rounded","ʂ:coronal,o:rounded,ŋ:low_visibility_velar","ʂ:coronal→o:rounded,o:rounded→ŋ:low_visibility_velar",0.06976744186046512,0.08333333333333333,0.16666666666666666,0.012578616352201259,0,0.006289308176100629,0.3,0.03636363636363636,0.012578616352201259,0.08151418750914144,0.16818181818181818,0.09642842896462904,0.15675805290219508,0.32342657342657344,0.18543928647044045
V027,word,cây,Northern Vietnamese (Hanoi),1,0.52,0.52,0.07,MODELED_PROXY_NOT_RECORDED,0.18 + 0.34*syllables - 0.03*checked + 0.08*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*tone_types,/kəj/,cây,c,â,y,k-ə-j,"j,k,ə","k→ə,ə→j",,ngang,ngang,,,0,,low_visibility_velar → central_vowel → palatal,"central_vowel,low_visibility_velar,palatal","low_visibility_velar→central_vowel,central_vowel→palatal","central_vowel,low_visibility_velar,palatal","k:low_visibility_velar,ə:central_vowel,j:palatal","k:low_visibility_velar→ə:central_vowel,ə:central_vowel→j:palatal",0.06976744186046512,0.08333333333333333,0.16666666666666666,0.012578616352201259,0,0.006289308176100629,0.3,0.03636363636363636,0.012578616352201259,0.08151418750914144,0.16818181818181818,0.09642842896462904,0.15675805290219508,0.32342657342657344,0.18543928647044045
V028,word,quả,Northern Vietnamese (Hanoi),1,0.52,0.52,0.07,MODELED_PROXY_NOT_RECORDED,0.18 + 0.34*syllables - 0.03*checked + 0.08*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*tone_types,/kwaː/,quả,qu,a,∅,kw-aː,"aː,kw",kw→aː,,hỏi,hỏi,,,0,,rounded → open_vowel,"open_vowel,rounded",rounded→open_vowel,"open_vowel,rounded","kw:rounded,aː:open_vowel",kw:rounded→aː:open_vowel,0.046511627906976744,0,0.16666666666666666,0.006289308176100629,0,0.0031446540880503146,0.2,0.01818181818181818,0.006289308176100629,0.05408073716542343,0.1090909090909091,0.06297058214565894,0.10400141762581429,0.2097902097902098,0.12109727335703642
V029,word,áo,Northern Vietnamese (Hanoi),1,0.52,0.52,0.07,MODELED_PROXY_NOT_RECORDED,0.18 + 0.34*syllables - 0.03*checked + 0.08*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*tone_types,/aːw/,áo,∅,a,o,aː-w,"aː,w",aː→w,,sắc,sắc,,,0,,open_vowel → rounded,"open_vowel,rounded",open_vowel→rounded,"open_vowel,rounded","aː:open_vowel,w:rounded",aː:open_vowel→w:rounded,0.046511627906976744,0.08333333333333333,0.16666666666666666,0.006289308176100629,0,0.0031446540880503146,0.2,0.01818181818181818,0.006289308176100629,0.07491407049875676,0.1090909090909091,0.07487534405042083,0.14406552018991683,0.2097902097902098,0.14399104625080927
V030,word,quần,Northern Vietnamese (Hanoi),1,0.52,0.52,0.07,MODELED_PROXY_NOT_RECORDED,0.18 + 0.34*syllables - 0.03*checked + 0.08*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*tone_types,/kwən/,quần,qu,â,n,kw-ə-n,"kw,n,ə","kw→ə,ə→n",,huyền,huyền,,,0,,rounded → central_vowel → coronal,"central_vowel,coronal,rounded","rounded→central_vowel,central_vowel→coronal","central_vowel,coronal,rounded","kw:rounded,ə:central_vowel,n:coronal","kw:rounded→ə:central_vowel,ə:central_vowel→n:coronal",0.06976744186046512,0.08333333333333333,0.16666666666666666,0.012578616352201259,0,0.006289308176100629,0.3,0.03636363636363636,0.012578616352201259,0.08151418750914144,0.16818181818181818,0.09642842896462904,0.15675805290219508,0.32342657342657344,0.18543928647044045
V031,word,mắt,Northern Vietnamese (Hanoi),1,0.49,0.49,0.07,MODELED_PROXY_NOT_RECORDED,0.18 + 0.34*syllables - 0.03*checked + 0.08*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*tone_types,/mat̚/,mắt,m,ă,t,m-a-t̚,"a,m,t̚","m→a,a→t̚",,sắc,sắc,,mắt,1,checked_syllable,bilabial_closure → open_vowel → coronal,"bilabial_closure,coronal,open_vowel","bilabial_closure→open_vowel,open_vowel→coronal","bilabial_closure,coronal,open_vowel","m:bilabial_closure,a:open_vowel,t̚:coronal","m:bilabial_closure→a:open_vowel,a:open_vowel→t̚:coronal",0.06976744186046512,0.08333333333333333,0.16666666666666666,0.012578616352201259,0,0.006289308176100629,0.3,0.03636363636363636,0.012578616352201259,0.08151418750914144,0.16818181818181818,0.09642842896462904,0.16635548471253356,0.3432282003710575,0.19679271217271233
