id,type,text,syllable_count,estimated_duration,actual_duration_mean,standard_deviation,pronunciation,onsets,nuclei,codas,phoneme_sequence,phoneme_set,phoneme_transitions,cross-word transition,morphophonological_processes,morphophonology_count,viseme_sequence,viseme_set,viseme_transitions,visual_features,phoneme_viseme_pairs,av_transitions,phoneme_coverage_gain,coda_coverage_gain,morph_coverage_gain,viseme_coverage_gain,viseme_transition_gain,av_transition_gain,audio_score,vision_score,joint_av_score,phoneme_transition_gain,audio_score_per_sec,vision_score_per_sec,joint_av_score_per_sec
K011,word,카드,2,0.6,0.63,0.06,카드,"ㅋ,ㄷ","ㅏ,ㅡ",,ㅋ-ㅏ-ㄷ-ㅡ,"ㅋ,ㅏ,ㄷ,ㅡ","ㅋ→ㅏ,ㅏ→ㄷ,ㄷ→ㅡ",,,,low-visibility velar → open vowel → alveolar → neutral/unrounded vowel,"low-visibility velar,open vowel,alveolar,neutral/unrounded vowel","low-visibility velar→open vowel,open vowel→alveolar,alveolar→neutral/unrounded vowel",개방 모음에서 입이 크게 열림; 혀/후방 조음 중심 구간은 입술 단서가 비교적 제한적,"ㅋ:low-visibility velar,ㅏ:open vowel,ㄷ:alveolar,ㅡ:neutral/unrounded vowel","ㅋ:low-visibility velar→ㅏ:open vowel,ㅏ:open vowel→ㄷ:alveolar,ㄷ:alveolar→ㅡ:neutral/unrounded vowel",0.08,0.0,0.0,0.2222222222222220,0.025423728813559300,0.012552301255230100,0.022688172043010800,0.06478342749529190,0.025184960784060100,0.010752688172043000,0.03601297149684250,0.10283083729411400,0.03997612822866680
K012,word,토끼,2,0.6,0.6,0.1,토끼,"ㅌ,ㄲ","ㅗ,ㅣ",,ㅌ-ㅗ-ㄲ-ㅣ,"ㅌ,ㅗ,ㄲ,ㅣ","ㅌ→ㅗ,ㅗ→ㄲ,ㄲ→ㅣ",,,,alveolar → rounded vowel → low-visibility velar → spread vowel,"alveolar,rounded vowel,low-visibility velar,spread vowel","alveolar→rounded vowel,rounded vowel→low-visibility velar,low-visibility velar→spread vowel",원순 모음에서 입술 원순화/돌출이 나타남; ㅣ 계열에서 입술이 옆으로 벌어짐; 혀/후방 조음 중심 구간은 입술 단서가 비교적 제한적,"ㅌ:alveolar,ㅗ:rounded vowel,ㄲ:low-visibility velar,ㅣ:spread vowel","ㅌ:alveolar→ㅗ:rounded vowel,ㅗ:rounded vowel→ㄲ:low-visibility velar,ㄲ:low-visibility velar→ㅣ:spread vowel",0.08,0.0,0.0,0.2222222222222220,0.025423728813559300,0.012552301255230100,0.022688172043010800,0.06478342749529190,0.025184960784060100,0.010752688172043000,0.037813620071684600,0.10797237915882000,0.041974934640100200
K013,word,포도,2,0.6,0.67,0.06,포도,"ㅍ,ㄷ",ㅗ,,ㅍ-ㅗ-ㄷ-ㅗ,"ㅍ,ㅗ,ㄷ","ㅍ→ㅗ,ㅗ→ㄷ,ㄷ→ㅗ",,,,bilabial closure → rounded vowel → alveolar → rounded vowel,"bilabial closure,rounded vowel,alveolar","bilabial closure→rounded vowel,rounded vowel→alveolar,alveolar→rounded vowel",양순음에서 입술 폐쇄가 나타남; 원순 모음에서 입술 원순화/돌출이 나타남; 혀/후방 조음 중심 구간은 입술 단서가 비교적 제한적,"ㅍ:bilabial closure,ㅗ:rounded vowel,ㄷ:alveolar,ㅗ:rounded vowel","ㅍ:bilabial closure→ㅗ:rounded vowel,ㅗ:rounded vowel→ㄷ:alveolar,ㄷ:alveolar→ㅗ:rounded vowel",0.06,0.0,0.0,0.16666666666666700,0.025423728813559300,0.012552301255230100,0.017688172043010800,0.053672316384180800,0.020985469860484000,0.010752688172043000,0.026400256780613100,0.08010793490176240,0.0313215968066926
K014,word,차표,2,0.7,0.77,0.06,차표,"ㅊ,ㅍ","ㅏ,ㅛ",,ㅊ-ㅏ-ㅍ-ㅛ,"ㅊ,ㅏ,ㅍ,ㅛ","ㅊ→ㅏ,ㅏ→ㅍ,ㅍ→ㅛ",,,,affricate → open vowel → bilabial closure → rounded vowel,"affricate,open vowel,bilabial closure,rounded vowel","affricate→open vowel,open vowel→bilabial closure,bilabial closure→rounded vowel",양순음에서 입술 폐쇄가 나타남; 원순 모음에서 입술 원순화/돌출이 나타남; 개방 모음에서 입이 크게 열림; 혀/후방 조음 중심 구간은 입술 단서가 비교적 제한적,"ㅊ:affricate,ㅏ:open vowel,ㅍ:bilabial closure,ㅛ:rounded vowel","ㅊ:affricate→ㅏ:open vowel,ㅏ:open vowel→ㅍ:bilabial closure,ㅍ:bilabial closure→ㅛ:rounded vowel",0.08,0.0,0.0,0.2222222222222220,0.025423728813559300,0.012552301255230100,0.022688172043010800,0.06478342749529190,0.025184960784060100,0.010752688172043000,0.029465158497416600,0.08413432142245700,0.03270774127800010
K015,word,커피,2,0.7,0.7,0.1,커피,"ㅋ,ㅍ","ㅓ,ㅣ",,ㅋ-ㅓ-ㅍ-ㅣ,"ㅋ,ㅓ,ㅍ,ㅣ","ㅋ→ㅓ,ㅓ→ㅍ,ㅍ→ㅣ",,,,low-visibility velar → open-mid vowel → bilabial closure → spread vowel,"low-visibility velar,open-mid vowel,bilabial closure,spread vowel","low-visibility velar→open-mid vowel,open-mid vowel→bilabial closure,bilabial closure→spread vowel",양순음에서 입술 폐쇄가 나타남; ㅣ 계열에서 입술이 옆으로 벌어짐; 중간 개구의 모음 변화가 나타남; 혀/후방 조음 중심 구간은 입술 단서가 비교적 제한적,"ㅋ:low-visibility velar,ㅓ:open-mid vowel,ㅍ:bilabial closure,ㅣ:spread vowel","ㅋ:low-visibility velar→ㅓ:open-mid vowel,ㅓ:open-mid vowel→ㅍ:bilabial closure,ㅍ:bilabial closure→ㅣ:spread vowel",0.08,0.0,0.0,0.2222222222222220,0.025423728813559300,0.012552301255230100,0.022688172043010800,0.06478342749529190,0.025184960784060100,0.010752688172043000,0.03241167434715820,0.09254775356470270,0.03597851540580010
K016,word,나무,2,0.6,0.5,0.1,나무,"ㄴ,ㅁ","ㅏ,ㅜ",,ㄴ-ㅏ-ㅁ-ㅜ,"ㄴ,ㅏ,ㅁ,ㅜ","ㄴ→ㅏ,ㅏ→ㅁ,ㅁ→ㅜ",,,,alveolar → open vowel → bilabial closure → rounded/protruded vowel,"alveolar,open vowel,bilabial closure,rounded/protruded vowel","alveolar→open vowel,open vowel→bilabial closure,bilabial closure→rounded/protruded vowel",양순음에서 입술 폐쇄가 나타남; 원순 모음에서 입술 원순화/돌출이 나타남; 개방 모음에서 입이 크게 열림; 혀/후방 조음 중심 구간은 입술 단서가 비교적 제한적,"ㄴ:alveolar,ㅏ:open vowel,ㅁ:bilabial closure,ㅜ:rounded/protruded vowel","ㄴ:alveolar→ㅏ:open vowel,ㅏ:open vowel→ㅁ:bilabial closure,ㅁ:bilabial closure→ㅜ:rounded/protruded vowel",0.08,0.0,0.0,0.2222222222222220,0.025423728813559300,0.012552301255230100,0.022688172043010800,0.06478342749529190,0.025184960784060100,0.010752688172043000,0.04537634408602150,0.12956685499058400,0.050369921568120200
K017,word,마음,2,0.5,0.5,0.0,마음,"ㅁ,ㅇ","ㅏ,ㅡ",ㅁ,ㅁ-ㅏ-ㅇ-ㅡ-ㅁ,"ㅁ,ㅏ,ㅇ,ㅡ","ㅁ→ㅏ,ㅏ→ㅇ,ㅇ→ㅡ,ㅡ→ㅁ",,,,bilabial closure → open vowel → null/velar onset → neutral/unrounded vowel → bilabial nasal coda,"bilabial closure,open vowel,null/velar onset,neutral/unrounded vowel,bilabial nasal coda","bilabial closure→open vowel,open vowel→null/velar onset,null/velar onset→neutral/unrounded vowel,neutral/unrounded vowel→bilabial nasal coda",양순음에서 입술 폐쇄가 나타남; 개방 모음에서 입이 크게 열림; 다양한 viseme 전환을 포함,"ㅁ:bilabial closure,ㅏ:open vowel,ㅇ:null/velar onset,ㅡ:neutral/unrounded vowel,ㅁ:bilabial nasal coda","ㅁ:bilabial closure→ㅏ:open vowel,ㅏ:open vowel→ㅇ:null/velar onset,ㅇ:null/velar onset→ㅡ:neutral/unrounded vowel,ㅡ:neutral/unrounded vowel→ㅁ:bilabial nasal coda",0.08,0.09090909090909090,0.0,0.2777777777777780,0.03389830508474580,0.016736401673640200,0.04631150211795370,0.08267419962335220,0.042314937400509700,0.014336917562724000,0.09262300423590750,0.16534839924670400,0.08462987480101940
K018,word,안녕,2,0.5,0.6,0.1,안녕,"ㅇ,ㄴ","ㅏ,ㅕ","ㄴ,ㅇ",ㅇ-ㅏ-ㄴ-ㄴ-ㅕ-ㅇ,"ㅇ,ㅏ,ㄴ,ㅕ","ㅇ→ㅏ,ㅏ→ㄴ,ㄴ→ㄴ,ㄴ→ㅕ,ㅕ→ㅇ",,,,null/velar onset → open vowel → low-visibility coda → alveolar → open-mid vowel → low-visibility coda,"null/velar onset,open vowel,low-visibility coda,alveolar,open-mid vowel","null/velar onset→open vowel,open vowel→low-visibility coda,low-visibility coda→alveolar,alveolar→open-mid vowel,open-mid vowel→low-visibility coda",개방 모음에서 입이 크게 열림; 중간 개구의 모음 변화가 나타남; 혀/후방 조음 중심 구간은 입술 단서가 비교적 제한적; 다양한 viseme 전환을 포함,"ㅇ:null/velar onset,ㅏ:open vowel,ㄴ:low-visibility coda,ㄴ:alveolar,ㅕ:open-mid vowel,ㅇ:low-visibility coda","ㅇ:null/velar onset→ㅏ:open vowel,ㅏ:open vowel→ㄴ:low-visibility coda,ㄴ:low-visibility coda→ㄴ:alveolar,ㄴ:alveolar→ㅕ:open-mid vowel,ㅕ:open-mid vowel→ㅇ:low-visibility coda",0.08,0.18181818181818200,0.0,0.2777777777777780,0.0423728813559322,0.02092050209205020,0.06993483219289670,0.08945386064030130,0.05546770504270960,0.017921146953405000,0.11655805365482800,0.14908976773383600,0.09244617507118270
K019,word,강물,2,0.7,0.7,0.0,강물,"ㄱ,ㅁ","ㅏ,ㅜ","ㅇ,ㄹ",ㄱ-ㅏ-ㅇ-ㅁ-ㅜ-ㄹ,"ㄱ,ㅏ,ㅇ,ㅁ,ㅜ,ㄹ","ㄱ→ㅏ,ㅏ→ㅇ,ㅇ→ㅁ,ㅁ→ㅜ,ㅜ→ㄹ",,,,low-visibility velar → open vowel → low-visibility coda → bilabial closure → rounded/protruded vowel → low-visibility coda,"low-visibility velar,open vowel,low-visibility coda,bilabial closure,rounded/protruded vowel","low-visibility velar→open vowel,open vowel→low-visibility coda,low-visibility coda→bilabial closure,bilabial closure→rounded/protruded vowel,rounded/protruded vowel→low-visibility coda",양순음에서 입술 폐쇄가 나타남; 원순 모음에서 입술 원순화/돌출이 나타남; 개방 모음에서 입이 크게 열림; 혀/후방 조음 중심 구간은 입술 단서가 비교적 제한적; 다양한 viseme 전환을 포함,"ㄱ:low-visibility velar,ㅏ:open vowel,ㅇ:low-visibility coda,ㅁ:bilabial closure,ㅜ:rounded/protruded vowel,ㄹ:low-visibility coda","ㄱ:low-visibility velar→ㅏ:open vowel,ㅏ:open vowel→ㅇ:low-visibility coda,ㅇ:low-visibility coda→ㅁ:bilabial closure,ㅁ:bilabial closure→ㅜ:rounded/protruded vowel,ㅜ:rounded/protruded vowel→ㄹ:low-visibility coda",0.12,0.18181818181818200,0.0,0.2777777777777780,0.0423728813559322,0.02092050209205020,0.07993483219289670,0.08945386064030130,0.059024325263232700,0.017921146953405000,0.11419261741842400,0.12779122948614500,0.08432046466176100
K020,word,라면,2,0.6,0.57,0.06,라면,"ㄹ,ㅁ","ㅏ,ㅕ",ㄴ,ㄹ-ㅏ-ㅁ-ㅕ-ㄴ,"ㄹ,ㅏ,ㅁ,ㅕ,ㄴ","ㄹ→ㅏ,ㅏ→ㅁ,ㅁ→ㅕ,ㅕ→ㄴ",,,,liquid → open vowel → bilabial closure → open-mid vowel → low-visibility coda,"liquid,open vowel,bilabial closure,open-mid vowel,low-visibility coda","liquid→open vowel,open vowel→bilabial closure,bilabial closure→open-mid vowel,open-mid vowel→low-visibility coda",양순음에서 입술 폐쇄가 나타남; 개방 모음에서 입이 크게 열림; 중간 개구의 모음 변화가 나타남; 혀/후방 조음 중심 구간은 입술 단서가 비교적 제한적; 다양한 viseme 전환을 포함,"ㄹ:liquid,ㅏ:open vowel,ㅁ:bilabial closure,ㅕ:open-mid vowel,ㄴ:low-visibility coda","ㄹ:liquid→ㅏ:open vowel,ㅏ:open vowel→ㅁ:bilabial closure,ㅁ:bilabial closure→ㅕ:open-mid vowel,ㅕ:open-mid vowel→ㄴ:low-visibility coda",0.1,0.09090909090909090,0.0,0.2777777777777780,0.03389830508474580,0.016736401673640200,0.05131150211795370,0.08267419962335220,0.04468790172597980,0.014336917562724000,0.0900201791543048,0.14504245547956500,0.07839982758943830
K021,word,노래,2,0.6,0.53,0.06,노래,"ㄴ,ㄹ","ㅗ,ㅐ",,ㄴ-ㅗ-ㄹ-ㅐ,"ㄴ,ㅗ,ㄹ,ㅐ","ㄴ→ㅗ,ㅗ→ㄹ,ㄹ→ㅐ",,,,alveolar → rounded vowel → liquid → front/open-mid vowel,"alveolar,rounded vowel,liquid,front/open-mid vowel","alveolar→rounded vowel,rounded vowel→liquid,liquid→front/open-mid vowel",원순 모음에서 입술 원순화/돌출이 나타남; 중간 개구의 모음 변화가 나타남; 혀/후방 조음 중심 구간은 입술 단서가 비교적 제한적,"ㄴ:alveolar,ㅗ:rounded vowel,ㄹ:liquid,ㅐ:front/open-mid vowel","ㄴ:alveolar→ㅗ:rounded vowel,ㅗ:rounded vowel→ㄹ:liquid,ㄹ:liquid→ㅐ:front/open-mid vowel",0.08,0.0,0.0,0.2222222222222220,0.025423728813559300,0.012552301255230100,0.022688172043010800,0.06478342749529190,0.025184960784060100,0.010752688172043000,0.04280787177926560,0.1222328820665890,0.04751879393218890
K022,word,거리,2,0.6,0.57,0.06,거리,"ㄱ,ㄹ","ㅓ,ㅣ",,ㄱ-ㅓ-ㄹ-ㅣ,"ㄱ,ㅓ,ㄹ,ㅣ","ㄱ→ㅓ,ㅓ→ㄹ,ㄹ→ㅣ",,,,low-visibility velar → open-mid vowel → liquid → spread vowel,"low-visibility velar,open-mid vowel,liquid,spread vowel","low-visibility velar→open-mid vowel,open-mid vowel→liquid,liquid→spread vowel",ㅣ 계열에서 입술이 옆으로 벌어짐; 중간 개구의 모음 변화가 나타남; 혀/후방 조음 중심 구간은 입술 단서가 비교적 제한적,"ㄱ:low-visibility velar,ㅓ:open-mid vowel,ㄹ:liquid,ㅣ:spread vowel","ㄱ:low-visibility velar→ㅓ:open-mid vowel,ㅓ:open-mid vowel→ㄹ:liquid,ㄹ:liquid→ㅣ:spread vowel",0.08,0.0,0.0,0.2222222222222220,0.025423728813559300,0.012552301255230100,0.022688172043010800,0.06478342749529190,0.025184960784060100,0.010752688172043000,0.03980381060177330,0.11365513595665200,0.044184141726421200
