id,type,text,dialect,syllable_count,stress_pattern,stress_features,estimated_duration,actual_duration_mean,standard_deviation,duration_measurement_status,duration_model,pronunciation_phonemic_ipa,surface_pronunciation_ipa,phoneme_sequence,phoneme_set,consonants,nuclei,word_final_codas,cross_word_transition,phoneme_transitions,consonant_clusters,phonological_processes,reduced_vowels_and_weak_forms,pronunciation_review_status,review_notes,viseme_sequence,viseme_set,viseme_transitions,phoneme_viseme_pairs,av_transitions,score_weighting_status,standalone_phoneme_coverage,standalone_coda_coverage,standalone_stress_feature_coverage,standalone_reduction_coverage,standalone_cluster_coverage,standalone_process_coverage,standalone_phoneme_transition_coverage,standalone_viseme_coverage,standalone_viseme_transition_coverage,standalone_av_transition_coverage,standalone_audio_score,standalone_vision_score,standalone_joint_av_score,standalone_audio_score_per_sec,standalone_vision_score_per_sec,standalone_joint_av_score_per_sec
E011,word,van,General American English,1,1,has_primary_stress;initial_primary_stress,0.48,0.48,0.06,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/væn/,[væn],v-æ-n,"n,v,æ","v,n",æ,n,,"v→æ,æ→n",,,,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,labiodental → open_vowel → coronal,"labiodental,open_vowel,coronal","labiodental→open_vowel,open_vowel→coronal","v:labiodental,æ:open_vowel,n:coronal","v:labiodental→æ:open_vowel,æ:open_vowel→n:coronal",EQUAL_WEIGHT_HEURISTIC,0.069767442,0.0625,0.333333333,0,0,0,0.008403361,0.15,0.018348624,0.008403361,0.067714877,0.084174312,0.065075612,0.14107266,0.17536315,0.135574192
E012,word,think,General American English,1,1,has_primary_stress;initial_primary_stress,0.52,0.52,0.07,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/θɪŋk/,[θɪŋk],θ-ɪ-ŋ-k,"k,ŋ,ɪ,θ","θ,ŋ,k",ɪ,k,,"θ→ɪ,ɪ→ŋ,ŋ→k",ŋk,,,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,dental → spread_vowel → low_visibility_velar → low_visibility_velar,"dental,spread_vowel,low_visibility_velar","dental→spread_vowel,spread_vowel→low_visibility_velar,low_visibility_velar→low_visibility_velar","θ:dental,ɪ:spread_vowel,ŋ:low_visibility_velar,k:low_visibility_velar","θ:dental→ɪ:spread_vowel,ɪ:spread_vowel→ŋ:low_visibility_velar,ŋ:low_visibility_velar→k:low_visibility_velar",EQUAL_WEIGHT_HEURISTIC,0.093023256,0.0625,0.333333333,0,0.033333333,0,0.012605042,0.15,0.027522936,0.012605042,0.076399281,0.088761468,0.072492294,0.146921694,0.170695131,0.139408258
E013,word,this,General American English,1,1,has_primary_stress;initial_primary_stress,0.48,0.48,0.06,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/ðɪs/,[ðɪs],ð-ɪ-s,"s,ð,ɪ","ð,s",ɪ,s,,"ð→ɪ,ɪ→s",,,,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,dental → spread_vowel → coronal,"dental,spread_vowel,coronal","dental→spread_vowel,spread_vowel→coronal","ð:dental,ɪ:spread_vowel,s:coronal","ð:dental→ɪ:spread_vowel,ɪ:spread_vowel→s:coronal",EQUAL_WEIGHT_HEURISTIC,0.069767442,0.0625,0.333333333,0,0,0,0.008403361,0.15,0.018348624,0.008403361,0.067714877,0.084174312,0.065075612,0.14107266,0.17536315,0.135574192
E014,word,red,General American English,1,1,has_primary_stress;initial_primary_stress,0.48,0.48,0.06,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/ɹɛd/,[ɹɛd],ɹ-ɛ-d,"d,ɛ,ɹ","ɹ,d",ɛ,d,,"ɹ→ɛ,ɛ→d",,,,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,rhotic → front_open_vowel → coronal,"rhotic,front_open_vowel,coronal","rhotic→front_open_vowel,front_open_vowel→coronal","ɹ:rhotic,ɛ:front_open_vowel,d:coronal","ɹ:rhotic→ɛ:front_open_vowel,ɛ:front_open_vowel→d:coronal",EQUAL_WEIGHT_HEURISTIC,0.069767442,0.0625,0.333333333,0,0,0,0.008403361,0.15,0.018348624,0.008403361,0.067714877,0.084174312,0.065075612,0.14107266,0.17536315,0.135574192
E015,word,light,General American English,1,1,has_primary_stress;initial_primary_stress,0.48,0.48,0.06,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/laɪt/,[laɪt],l-aɪ-t,"aɪ,l,t","l,t",aɪ,t,,"l→aɪ,aɪ→t",,dark_l,,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,coronal → open_to_spread → coronal,"coronal,open_to_spread","coronal→open_to_spread,open_to_spread→coronal","l:coronal,aɪ:open_to_spread,t:coronal","l:coronal→aɪ:open_to_spread,aɪ:open_to_spread→t:coronal",EQUAL_WEIGHT_HEURISTIC,0.069767442,0.0625,0.333333333,0,0,0.111111111,0.008403361,0.1,0.018348624,0.008403361,0.083587893,0.059174312,0.071186723,0.174141443,0.123279817,0.148305674
E016,word,yellow,General American English,2,10,has_primary_stress;has_unstressed_syllable;initial_primary_stress;stress_alternation,0.76,0.76,0.07,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/jɛloʊ/,[jɛloʊ],j-ɛ-l-oʊ,"j,l,oʊ,ɛ","j,l","ɛ,oʊ",,,"j→ɛ,ɛ→l,l→oʊ",,dark_l,,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,palatal_glide → front_open_vowel → coronal → rounded_vowel,"palatal_glide,front_open_vowel,coronal,rounded_vowel","palatal_glide→front_open_vowel,front_open_vowel→coronal,coronal→rounded_vowel","j:palatal_glide,ɛ:front_open_vowel,l:coronal,oʊ:rounded_vowel","j:palatal_glide→ɛ:front_open_vowel,ɛ:front_open_vowel→l:coronal,l:coronal→oʊ:rounded_vowel",EQUAL_WEIGHT_HEURISTIC,0.093023256,0,0.666666667,0,0,0.111111111,0.012605042,0.2,0.027522936,0.012605042,0.126200868,0.113761468,0.112353405,0.166053774,0.149686142,0.147833428
E017,word,water,General American English,2,10,has_primary_stress;has_unstressed_syllable;initial_primary_stress;stress_alternation,0.76,0.76,0.07,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/wɔtɚ/,[wɔɾɚ],w-ɔ-t-ɚ,"t,w,ɔ,ɚ","w,t","ɔ,ɚ",,,"w→ɔ,ɔ→t,t→ɚ",,flapping;r_coloring,ɚ,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,rounded_glide → rounded_open_vowel → coronal → rhotic_vowel,"rounded_glide,rounded_open_vowel,coronal,rhotic_vowel","rounded_glide→rounded_open_vowel,rounded_open_vowel→coronal,coronal→rhotic_vowel","w:rounded_glide,ɔ:rounded_open_vowel,t:coronal,ɚ:rhotic_vowel","w:rounded_glide→ɔ:rounded_open_vowel,ɔ:rounded_open_vowel→t:coronal,t:coronal→ɚ:rhotic_vowel",EQUAL_WEIGHT_HEURISTIC,0.093023256,0,0.666666667,0.1,0,0.222222222,0.012605042,0.2,0.027522936,0.012605042,0.156359598,0.113761468,0.133464516,0.205736313,0.149686142,0.175611206
E018,word,happy,General American English,2,10,has_primary_stress;has_unstressed_syllable;initial_primary_stress;stress_alternation,0.76,0.76,0.07,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/hæpi/,[hæpi],h-æ-p-i,"h,i,p,æ","h,p","æ,i",,,"h→æ,æ→p,p→i",,,,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,glottal → open_vowel → bilabial_closure → spread_vowel,"glottal,open_vowel,bilabial_closure,spread_vowel","glottal→open_vowel,open_vowel→bilabial_closure,bilabial_closure→spread_vowel","h:glottal,æ:open_vowel,p:bilabial_closure,i:spread_vowel","h:glottal→æ:open_vowel,æ:open_vowel→p:bilabial_closure,p:bilabial_closure→i:spread_vowel",EQUAL_WEIGHT_HEURISTIC,0.093023256,0,0.666666667,0,0,0,0.012605042,0.2,0.027522936,0.012605042,0.110327852,0.113761468,0.101242294,0.145168226,0.149686142,0.133213545
E019,word,pen,General American English,1,1,has_primary_stress;initial_primary_stress,0.48,0.48,0.06,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/pɛn/,[pɛn],p-ɛ-n,"n,p,ɛ","p,n",ɛ,n,,"p→ɛ,ɛ→n",,aspiration,,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,bilabial_closure → front_open_vowel → coronal,"bilabial_closure,front_open_vowel,coronal","bilabial_closure→front_open_vowel,front_open_vowel→coronal","p:bilabial_closure,ɛ:front_open_vowel,n:coronal","p:bilabial_closure→ɛ:front_open_vowel,ɛ:front_open_vowel→n:coronal",EQUAL_WEIGHT_HEURISTIC,0.069767442,0.0625,0.333333333,0,0,0.111111111,0.008403361,0.15,0.018348624,0.008403361,0.083587893,0.084174312,0.076186723,0.174141443,0.17536315,0.15872234
E020,word,book,General American English,1,1,has_primary_stress;initial_primary_stress,0.48,0.48,0.06,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/bʊk/,[bʊk],b-ʊ-k,"b,k,ʊ","b,k",ʊ,k,,"b→ʊ,ʊ→k",,,,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,bilabial_closure → rounded_vowel → low_visibility_velar,"bilabial_closure,rounded_vowel,low_visibility_velar","bilabial_closure→rounded_vowel,rounded_vowel→low_visibility_velar","b:bilabial_closure,ʊ:rounded_vowel,k:low_visibility_velar","b:bilabial_closure→ʊ:rounded_vowel,ʊ:rounded_vowel→k:low_visibility_velar",EQUAL_WEIGHT_HEURISTIC,0.069767442,0.0625,0.333333333,0,0,0,0.008403361,0.15,0.018348624,0.008403361,0.067714877,0.084174312,0.065075612,0.14107266,0.17536315,0.135574192
E021,word,cup,General American English,1,1,has_primary_stress;initial_primary_stress,0.48,0.48,0.06,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/kʌp/,[kʌp],k-ʌ-p,"k,p,ʌ","k,p",ʌ,p,,"k→ʌ,ʌ→p",,aspiration,,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,low_visibility_velar → central_open_vowel → bilabial_closure,"low_visibility_velar,central_open_vowel,bilabial_closure","low_visibility_velar→central_open_vowel,central_open_vowel→bilabial_closure","k:low_visibility_velar,ʌ:central_open_vowel,p:bilabial_closure","k:low_visibility_velar→ʌ:central_open_vowel,ʌ:central_open_vowel→p:bilabial_closure",EQUAL_WEIGHT_HEURISTIC,0.069767442,0.0625,0.333333333,0,0,0.111111111,0.008403361,0.15,0.018348624,0.008403361,0.083587893,0.084174312,0.076186723,0.174141443,0.17536315,0.15872234
E022,word,key,General American English,1,1,has_primary_stress;initial_primary_stress,0.48,0.48,0.06,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/kiː/,[kiː],k-iː,"iː,k",k,iː,,,k→iː,,aspiration,,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,low_visibility_velar → spread_vowel,"low_visibility_velar,spread_vowel",low_visibility_velar→spread_vowel,"k:low_visibility_velar,iː:spread_vowel",k:low_visibility_velar→iː:spread_vowel,EQUAL_WEIGHT_HEURISTIC,0.046511628,0,0.333333333,0,0,0.111111111,0.004201681,0.1,0.009174312,0.004201681,0.070736822,0.054587156,0.060853375,0.147368379,0.113723242,0.126777864
E023,word,phone,General American English,1,1,has_primary_stress;initial_primary_stress,0.48,0.48,0.06,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/foʊn/,[foʊn],f-oʊ-n,"f,n,oʊ","f,n",oʊ,n,,"f→oʊ,oʊ→n",,,,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,labiodental → rounded_vowel → coronal,"labiodental,rounded_vowel,coronal","labiodental→rounded_vowel,rounded_vowel→coronal","f:labiodental,oʊ:rounded_vowel,n:coronal","f:labiodental→oʊ:rounded_vowel,oʊ:rounded_vowel→n:coronal",EQUAL_WEIGHT_HEURISTIC,0.069767442,0.0625,0.333333333,0,0,0,0.008403361,0.15,0.018348624,0.008403361,0.067714877,0.084174312,0.065075612,0.14107266,0.17536315,0.135574192
E024,word,mirror,General American English,2,10,has_primary_stress;has_unstressed_syllable;initial_primary_stress;stress_alternation,0.76,0.76,0.07,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/mɪɹɚ/,[mɪɹɚ],m-ɪ-ɹ-ɚ,"m,ɚ,ɪ,ɹ","m,ɹ","ɪ,ɚ",,,"m→ɪ,ɪ→ɹ,ɹ→ɚ",,r_coloring,ɚ,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,bilabial_closure → spread_vowel → rhotic → rhotic_vowel,"bilabial_closure,spread_vowel,rhotic,rhotic_vowel","bilabial_closure→spread_vowel,spread_vowel→rhotic,rhotic→rhotic_vowel","m:bilabial_closure,ɪ:spread_vowel,ɹ:rhotic,ɚ:rhotic_vowel","m:bilabial_closure→ɪ:spread_vowel,ɪ:spread_vowel→ɹ:rhotic,ɹ:rhotic→ɚ:rhotic_vowel",EQUAL_WEIGHT_HEURISTIC,0.093023256,0,0.666666667,0.1,0,0.111111111,0.012605042,0.2,0.027522936,0.012605042,0.140486582,0.113761468,0.122353405,0.184850766,0.149686142,0.160991323
E025,word,spoon,General American English,1,1,has_primary_stress;initial_primary_stress,0.52,0.52,0.07,MODELED_PROXY_NOT_RECORDED,0.20 + 0.28*syllables + 0.04*cluster_types + 0.06*phrase; SD=0.04+0.02*sqrt(syllables)+0.01*phrase+0.005*cluster_types,/spuːn/,[spuːn],s-p-uː-n,"n,p,s,uː","s,p,n",uː,n,,"s→p,p→uː,uː→n",sp,,,PENDING_EXPERT_REVIEW,General American target; native-speaker/phonetic validation required before benchmark release.,coronal → bilabial_closure → rounded_vowel → coronal,"coronal,bilabial_closure,rounded_vowel","coronal→bilabial_closure,bilabial_closure→rounded_vowel,rounded_vowel→coronal","s:coronal,p:bilabial_closure,uː:rounded_vowel,n:coronal","s:coronal→p:bilabial_closure,p:bilabial_closure→uː:rounded_vowel,uː:rounded_vowel→n:coronal",EQUAL_WEIGHT_HEURISTIC,0.093023256,0.0625,0.333333333,0,0.033333333,0,0.012605042,0.15,0.027522936,0.012605042,0.076399281,0.088761468,0.072492294,0.146921694,0.170695131,0.139408258
