id,type,text,reading_kana,mora_count,estimated_duration,actual_duration_mean,standard_deviation,pronunciation,mora_sequence,consonants,vowels,special_morae,phoneme_sequence,long_vowel_morae,long_vowel_count,phoneme_set,phoneme_transitions,cross_word_transition,phonological_processes,phonological_process_count,prosodic_features,pitch_accent_pattern,pitch_accent_variants,pitch_accent_unit,pitch_accent_source,pitch_accent_confidence,reading_review_status,long_vowel_review_status,pitch_accent_review_status,review_notes,viseme_sequence,viseme_set,viseme_transitions,visual_features,phoneme_viseme_pairs,av_transitions,phoneme_coverage_gain,special_mora_coverage_gain,prosodic_coverage_gain,phoneme_transition_gain,viseme_coverage_gain,viseme_transition_gain,av_transition_gain,audio_score,vision_score,joint_av_score,audio_score_per_sec,vision_score_per_sec,joint_av_score_per_sec,duration_measurement_status,duration_model
J011,word,角,かど,2,0.52,0.52,0.06,かど,か-ど,"d,k","a,o",,k-a-d-o,,0,"a,d,k,o","k→a,a→d,d→o",,,0,mora_timed;pitch_accent_relevant,1,,lexical_nucleus,Accent Jiten aggregation: OJAD; NHK; Wiktionary; Kanjium; Kishimoto Tsuneyo,HIGH,RULE_REVIEWED,RULE_REVIEWED,DICTIONARY_VERIFIED,,low_visibility_velar → open_vowel → coronal → rounded,"coronal,low_visibility_velar,open_vowel,rounded","low_visibility_velar→open_vowel,open_vowel→coronal,coronal→rounded",coronal; low_visibility_velar; open_vowel; rounded,"k:low_visibility_velar,a:open_vowel,d:coronal,o:rounded","k:low_visibility_velar→a:open_vowel,a:open_vowel→d:coronal,d:coronal→o:rounded",0.12121212121212122,0.0,0.0,0.019736842105263157,0.4,0.07142857142857142,0.019736842105263157,0.035237240829346095,0.2357142857142857,0.09030205383588842,0.06776392467181941,0.4532967032967033,0.17365779583824695,MODELED_PROXY_NOT_RECORDED,0.14 + 0.19*mora + 0.03*N + 0.045*Q + 0.025*long_mora + 0.08*phrase; SD=0.035+0.018*sqrt(mora)+0.012*phrase+0.005*special
J012,word,壁,かべ,2,0.52,0.52,0.06,かべ,か-べ,"b,k","a,e",,k-a-b-e,,0,"a,b,e,k","k→a,a→b,b→e",,,0,mora_timed;pitch_accent_relevant,0,,lexical_nucleus,Accent Jiten aggregation: OJAD; NHK; Wiktionary; Kanjium; Kishimoto Tsuneyo,HIGH,RULE_REVIEWED,RULE_REVIEWED,DICTIONARY_VERIFIED,,low_visibility_velar → open_vowel → bilabial_closure → spread_vowel,"bilabial_closure,low_visibility_velar,open_vowel,spread_vowel","low_visibility_velar→open_vowel,open_vowel→bilabial_closure,bilabial_closure→spread_vowel",bilabial_closure; low_visibility_velar; open_vowel; spread_vowel,"k:low_visibility_velar,a:open_vowel,b:bilabial_closure,e:spread_vowel","k:low_visibility_velar→a:open_vowel,a:open_vowel→b:bilabial_closure,b:bilabial_closure→e:spread_vowel",0.12121212121212122,0.0,0.0,0.019736842105263157,0.4,0.07142857142857142,0.019736842105263157,0.035237240829346095,0.2357142857142857,0.09030205383588842,0.06776392467181941,0.4532967032967033,0.17365779583824695,MODELED_PROXY_NOT_RECORDED,0.14 + 0.19*mora + 0.03*N + 0.045*Q + 0.025*long_mora + 0.08*phrase; SD=0.035+0.018*sqrt(mora)+0.012*phrase+0.005*special
J013,word,紙,かみ,2,0.52,0.52,0.06,かみ,か-み,"k,m","a,i",,k-a-m-i,,0,"a,i,k,m","k→a,a→m,m→i",,,0,mora_timed;pitch_accent_relevant,2,,lexical_nucleus,Accent Jiten aggregation: OJAD; NHK; Wiktionary; Kanjium; Kishimoto Tsuneyo,HIGH,RULE_REVIEWED,RULE_REVIEWED,DICTIONARY_VERIFIED,,low_visibility_velar → open_vowel → bilabial_closure → spread_vowel,"bilabial_closure,low_visibility_velar,open_vowel,spread_vowel","low_visibility_velar→open_vowel,open_vowel→bilabial_closure,bilabial_closure→spread_vowel",bilabial_closure; low_visibility_velar; open_vowel; spread_vowel,"k:low_visibility_velar,a:open_vowel,m:bilabial_closure,i:spread_vowel","k:low_visibility_velar→a:open_vowel,a:open_vowel→m:bilabial_closure,m:bilabial_closure→i:spread_vowel",0.12121212121212122,0.0,0.0,0.019736842105263157,0.4,0.07142857142857142,0.019736842105263157,0.035237240829346095,0.2357142857142857,0.09030205383588842,0.06776392467181941,0.4532967032967033,0.17365779583824695,MODELED_PROXY_NOT_RECORDED,0.14 + 0.19*mora + 0.03*N + 0.045*Q + 0.025*long_mora + 0.08*phrase; SD=0.035+0.018*sqrt(mora)+0.012*phrase+0.005*special
J014,word,殻,から,2,0.52,0.52,0.06,から,か-ら,"k,r",a,,k-a-r-a,,0,"a,k,r","k→a,a→r,r→a",,,0,mora_timed;pitch_accent_relevant,2,,lexical_nucleus,Accent Jiten aggregation: OJAD; NHK; Wiktionary; Kanjium; Kishimoto Tsuneyo,HIGH,RULE_REVIEWED,RULE_REVIEWED,DICTIONARY_VERIFIED,,low_visibility_velar → open_vowel → coronal → open_vowel,"coronal,low_visibility_velar,open_vowel","low_visibility_velar→open_vowel,open_vowel→coronal,coronal→open_vowel",coronal; low_visibility_velar; open_vowel,"k:low_visibility_velar,a:open_vowel,r:coronal,a:open_vowel","k:low_visibility_velar→a:open_vowel,a:open_vowel→r:coronal,r:coronal→a:open_vowel",0.09090909090909091,0.0,0.0,0.019736842105263157,0.3,0.07142857142857142,0.019736842105263157,0.02766148325358852,0.18571428571428572,0.0716873352211698,0.05319516010305484,0.35714285714285715,0.13786026004071114,MODELED_PROXY_NOT_RECORDED,0.14 + 0.19*mora + 0.03*N + 0.045*Q + 0.025*long_mora + 0.08*phrase; SD=0.035+0.018*sqrt(mora)+0.012*phrase+0.005*special
J015,word,川,かわ,2,0.52,0.52,0.06,かわ,か-わ,"k,w",a,,k-a-w-a,,0,"a,k,w","k→a,a→w,w→a",,,0,mora_timed;pitch_accent_relevant,2,,lexical_nucleus,Accent Jiten aggregation: OJAD; NHK; Wiktionary; Kanjium; Kishimoto Tsuneyo,HIGH,RULE_REVIEWED,RULE_REVIEWED,DICTIONARY_VERIFIED,,low_visibility_velar → open_vowel → rounded → open_vowel,"low_visibility_velar,open_vowel,rounded","low_visibility_velar→open_vowel,open_vowel→rounded,rounded→open_vowel",low_visibility_velar; open_vowel; rounded,"k:low_visibility_velar,a:open_vowel,w:rounded,a:open_vowel","k:low_visibility_velar→a:open_vowel,a:open_vowel→w:rounded,w:rounded→a:open_vowel",0.09090909090909091,0.0,0.0,0.019736842105263157,0.3,0.07142857142857142,0.019736842105263157,0.02766148325358852,0.18571428571428572,0.0716873352211698,0.05319516010305484,0.35714285714285715,0.13786026004071114,MODELED_PROXY_NOT_RECORDED,0.14 + 0.19*mora + 0.03*N + 0.045*Q + 0.025*long_mora + 0.08*phrase; SD=0.035+0.018*sqrt(mora)+0.012*phrase+0.005*special
J016,word,菊,きく,2,0.52,0.52,0.06,きく,き-く,k,"i,u",,k-i-k-u,,0,"i,k,u","k→i,i→k,k→u",,high_vowel_devoicing_context,1,mora_timed;pitch_accent_relevant,2,0,lexical_nucleus,Accent Jiten aggregation: OJAD; NHK; Wiktionary; Kanjium; Kishimoto Tsuneyo,MEDIUM,RULE_REVIEWED,RULE_REVIEWED,DICTIONARY_VERIFIED,,low_visibility_velar → spread_vowel → low_visibility_velar → rounded,"low_visibility_velar,rounded,spread_vowel","low_visibility_velar→spread_vowel,spread_vowel→low_visibility_velar,low_visibility_velar→rounded",low_visibility_velar; rounded; spread_vowel,"k:low_visibility_velar,i:spread_vowel,k:low_visibility_velar,u:rounded","k:low_visibility_velar→i:spread_vowel,i:spread_vowel→k:low_visibility_velar,k:low_visibility_velar→u:rounded",0.09090909090909091,0.0,0.2,0.019736842105263157,0.3,0.07142857142857142,0.019736842105263157,0.07766148325358851,0.18571428571428572,0.10025876379259838,0.14934900625690098,0.35714285714285715,0.1928053149857661,MODELED_PROXY_NOT_RECORDED,0.14 + 0.19*mora + 0.03*N + 0.045*Q + 0.025*long_mora + 0.08*phrase; SD=0.035+0.018*sqrt(mora)+0.012*phrase+0.005*special
J017,word,靴,くつ,2,0.52,0.52,0.06,くつ,く-つ,"k,ts",u,,k-u-ts-u,,0,"k,ts,u","k→u,u→ts,ts→u",,high_vowel_devoicing_context,1,mora_timed;pitch_accent_relevant,2,,lexical_nucleus,Accent Jiten aggregation: OJAD; NHK; Wiktionary; Kanjium; Kishimoto Tsuneyo,HIGH,RULE_REVIEWED,RULE_REVIEWED,DICTIONARY_VERIFIED,,low_visibility_velar → rounded → coronal → rounded,"coronal,low_visibility_velar,rounded","low_visibility_velar→rounded,rounded→coronal,coronal→rounded",coronal; low_visibility_velar; rounded,"k:low_visibility_velar,u:rounded,ts:coronal,u:rounded","k:low_visibility_velar→u:rounded,u:rounded→ts:coronal,ts:coronal→u:rounded",0.09090909090909091,0.0,0.2,0.019736842105263157,0.3,0.07142857142857142,0.019736842105263157,0.07766148325358851,0.18571428571428572,0.10025876379259838,0.14934900625690098,0.35714285714285715,0.1928053149857661,MODELED_PROXY_NOT_RECORDED,0.14 + 0.19*mora + 0.03*N + 0.045*Q + 0.025*long_mora + 0.08*phrase; SD=0.035+0.018*sqrt(mora)+0.012*phrase+0.005*special
J018,word,雲,くも,2,0.52,0.52,0.06,くも,く-も,"k,m","o,u",,k-u-m-o,,0,"k,m,o,u","k→u,u→m,m→o",,,0,mora_timed;pitch_accent_relevant,1,,lexical_nucleus,Accent Jiten aggregation: OJAD; NHK; Wiktionary; Kanjium; Kishimoto Tsuneyo,HIGH,RULE_REVIEWED,RULE_REVIEWED,DICTIONARY_VERIFIED,,low_visibility_velar → rounded → bilabial_closure → rounded,"bilabial_closure,low_visibility_velar,rounded","low_visibility_velar→rounded,rounded→bilabial_closure,bilabial_closure→rounded",bilabial_closure; low_visibility_velar; rounded,"k:low_visibility_velar,u:rounded,m:bilabial_closure,o:rounded","k:low_visibility_velar→u:rounded,u:rounded→m:bilabial_closure,m:bilabial_closure→o:rounded",0.12121212121212122,0.0,0.0,0.019736842105263157,0.3,0.07142857142857142,0.019736842105263157,0.035237240829346095,0.18571428571428572,0.07601633955017414,0.06776392467181941,0.35714285714285715,0.14618526836571952,MODELED_PROXY_NOT_RECORDED,0.14 + 0.19*mora + 0.03*N + 0.045*Q + 0.025*long_mora + 0.08*phrase; SD=0.035+0.018*sqrt(mora)+0.012*phrase+0.005*special
J019,word,毛,け,1,0.32,0.33,0.05,け,け,k,e,,k-e,,0,"e,k",k→e,,,0,mora_timed;pitch_accent_relevant,0,,lexical_nucleus,Accent Jiten aggregation: OJAD; NHK; Wiktionary; Kanjium; Kishimoto Tsuneyo,HIGH,RULE_REVIEWED,RULE_REVIEWED,DICTIONARY_VERIFIED,,low_visibility_velar → spread_vowel,"low_visibility_velar,spread_vowel",low_visibility_velar→spread_vowel,low_visibility_velar; spread_vowel,"k:low_visibility_velar,e:spread_vowel",k:low_visibility_velar→e:spread_vowel,0.06060606060606061,0.0,0.0,0.006578947368421052,0.2,0.023809523809523808,0.006578947368421052,0.016796251993620413,0.11190476190476191,0.04251049702177522,0.05089773331400125,0.33910533910533913,0.1288196879447734,MODELED_PROXY_NOT_RECORDED,0.14 + 0.19*mora + 0.03*N + 0.045*Q + 0.025*long_mora + 0.08*phrase; SD=0.035+0.018*sqrt(mora)+0.012*phrase+0.005*special
J020,word,声,こえ,2,0.52,0.52,0.06,こえ,こ-え,k,"e,o",,k-o-e,,0,"e,k,o","k→o,o→e",,,0,mora_timed;pitch_accent_relevant,1,,lexical_nucleus,Accent Jiten aggregation: OJAD; NHK; Wiktionary; Kanjium; Kishimoto Tsuneyo,HIGH,RULE_REVIEWED,RULE_REVIEWED,DICTIONARY_VERIFIED,,low_visibility_velar → rounded → spread_vowel,"low_visibility_velar,rounded,spread_vowel","low_visibility_velar→rounded,rounded→spread_vowel",low_visibility_velar; rounded; spread_vowel,"k:low_visibility_velar,o:rounded,e:spread_vowel","k:low_visibility_velar→o:rounded,o:rounded→e:spread_vowel",0.09090909090909091,0.0,0.0,0.013157894736842105,0.3,0.047619047619047616,0.013157894736842105,0.026016746411483254,0.1738095238095238,0.06640627542883182,0.0500322046374678,0.3342490842490842,0.12770437582467656,MODELED_PROXY_NOT_RECORDED,0.14 + 0.19*mora + 0.03*N + 0.045*Q + 0.025*long_mora + 0.08*phrase; SD=0.035+0.018*sqrt(mora)+0.012*phrase+0.005*special
J021,word,ここ,ここ,2,0.52,0.52,0.06,ここ,こ-こ,k,o,,k-o-k-o,,0,"k,o","k→o,o→k,k→o",,,0,mora_timed;pitch_accent_relevant,0,,lexical_nucleus,Accent Jiten aggregation: OJAD; NHK; Wiktionary; Kanjium; Kishimoto Tsuneyo,HIGH,RULE_REVIEWED,RULE_REVIEWED,DICTIONARY_VERIFIED,,low_visibility_velar → rounded → low_visibility_velar → rounded,"low_visibility_velar,rounded","low_visibility_velar→rounded,rounded→low_visibility_velar,low_visibility_velar→rounded",low_visibility_velar; rounded,"k:low_visibility_velar,o:rounded,k:low_visibility_velar,o:rounded","k:low_visibility_velar→o:rounded,o:rounded→k:low_visibility_velar,k:low_visibility_velar→o:rounded",0.06060606060606061,0.0,0.0,0.013157894736842105,0.2,0.047619047619047616,0.013157894736842105,0.018440988835725678,0.12380952380952381,0.04779155681411321,0.03546344006870322,0.23809523809523808,0.0919068400271408,MODELED_PROXY_NOT_RECORDED,0.14 + 0.19*mora + 0.03*N + 0.045*Q + 0.025*long_mora + 0.08*phrase; SD=0.035+0.018*sqrt(mora)+0.012*phrase+0.005*special
J022,word,坂,さか,2,0.52,0.52,0.06,さか,さ-か,"k,s",a,,s-a-k-a,,0,"a,k,s","s→a,a→k,k→a",,,0,mora_timed;pitch_accent_relevant,2,1,lexical_nucleus,Accent Jiten aggregation: OJAD; NHK; Wiktionary; Kanjium; Kishimoto Tsuneyo,MEDIUM,RULE_REVIEWED,RULE_REVIEWED,DICTIONARY_VERIFIED,,coronal → open_vowel → low_visibility_velar → open_vowel,"coronal,low_visibility_velar,open_vowel","coronal→open_vowel,open_vowel→low_visibility_velar,low_visibility_velar→open_vowel",coronal; low_visibility_velar; open_vowel,"s:coronal,a:open_vowel,k:low_visibility_velar,a:open_vowel","s:coronal→a:open_vowel,a:open_vowel→k:low_visibility_velar,k:low_visibility_velar→a:open_vowel",0.09090909090909091,0.0,0.0,0.019736842105263157,0.3,0.07142857142857142,0.019736842105263157,0.02766148325358852,0.18571428571428572,0.0716873352211698,0.05319516010305484,0.35714285714285715,0.13786026004071114,MODELED_PROXY_NOT_RECORDED,0.14 + 0.19*mora + 0.03*N + 0.045*Q + 0.025*long_mora + 0.08*phrase; SD=0.035+0.018*sqrt(mora)+0.012*phrase+0.005*special
J023,word,寿司,すし,2,0.52,0.52,0.06,すし,す-し,"s,sh","i,u",,s-u-sh-i,,0,"i,s,sh,u","s→u,u→sh,sh→i",,high_vowel_devoicing_context,1,mora_timed;pitch_accent_relevant,2,1,lexical_nucleus,Accent Jiten aggregation: OJAD; NHK; Wiktionary; Kanjium; Kishimoto Tsuneyo,MEDIUM,RULE_REVIEWED,RULE_REVIEWED,DICTIONARY_VERIFIED,,coronal → rounded → coronal → spread_vowel,"coronal,rounded,spread_vowel","coronal→rounded,rounded→coronal,coronal→spread_vowel",coronal; rounded; spread_vowel,"s:coronal,u:rounded,sh:coronal,i:spread_vowel","s:coronal→u:rounded,u:rounded→sh:coronal,sh:coronal→i:spread_vowel",0.12121212121212122,0.0,0.2,0.019736842105263157,0.3,0.07142857142857142,0.019736842105263157,0.0852372408293461,0.18571428571428572,0.10458776812160271,0.16391777082566555,0.35714285714285715,0.20113032331077443,MODELED_PROXY_NOT_RECORDED,0.14 + 0.19*mora + 0.03*N + 0.045*Q + 0.025*long_mora + 0.08*phrase; SD=0.035+0.018*sqrt(mora)+0.012*phrase+0.005*special
